match_id,team_id,team,player_name,minutes_played,goals,assists,shots,shots_on_target,passes,pass_accuracy,tackles,yellow_cards,red_cards,rating
497410,66,Manchester United FC,André Onana,90,0,0,0,0,64,78.1,2,0,0,6.0
497410,66,Manchester United FC,Aaron Wan-Bissaka,90,0,0,2,0,25,76.8,2,0,0,8.5
497410,66,Manchester United FC,Raphaël Varane,90,0,0,2,0,66,79.2,0,0,0,8.9
497410,66,Manchester United FC,Harry Maguire,90,0,0,3,0,55,74.1,5,1,0,7.7
497410,66,Manchester United FC,Luke Shaw,90,0,1,2,1,65,67.2,5,1,0,6.3
497410,66,Manchester United FC,Casemiro,90,0,0,2,0,74,72.2,0,0,0,6.8
497410,66,Manchester United FC,Bruno Fernandes,90,0,0,3,2,30,76.5,1,0,0,7.8
497410,66,Manchester United FC,Mason Mount,90,0,0,0,0,54,87.6,1,0,0,7.1
497410,66,Manchester United FC,Marcus Rashford,90,1,0,3,3,34,86.2,6,0,0,8.2
497410,66,Manchester United FC,Rasmus Højlund,90,0,0,0,0,72,66.0,2,0,0,6.9
497410,66,Manchester United FC,Antony,90,0,0,0,0,78,94.2,5,0,0,6.6
497410,63,Fulham FC,Bernd Leno,90,0,0,3,3,29,73.2,1,0,0,8.1
497410,63,Fulham FC,Kenny Tete,90,0,0,2,2,77,83.1,2,0,0,6.3
497410,63,Fulham FC,Issa Diop,90,0,0,1,1,51,67.8,0,0,0,8.5
497410,63,Fulham FC,Tosin Adarabioyo,90,0,0,1,1,30,89.6,3,0,0,7.6
497410,63,Fulham FC,Antonee Robinson,90,0,0,3,3,58,95.9,4,0,0,6.4
497410,63,Fulham FC,Joao Palhinha,90,0,0,0,0,63,92.4,6,0,0,6.4
497410,63,Fulham FC,Tom Cairney,90,0,0,2,0,38,78.5,3,0,0,5.5
497410,63,Fulham FC,Harrison Reed,90,0,0,2,1,52,93.3,6,1,0,7.7
497410,63,Fulham FC,Bobby Decordova-Reid,90,0,0,1,0,43,88.6,4,0,0,8.8
497410,63,Fulham FC,Aleksandar Mitrovic,90,0,0,0,0,51,65.6,2,0,0,8.6
497410,63,Fulham FC,Willian,90,0,0,2,1,23,72.5,4,0,0,8.8
497411,349,Ipswich Town FC,Christian Walton,90,0,0,2,2,77,81.0,0,0,0,6.4
497411,349,Ipswich Town FC,Leif Davis,90,0,0,0,0,21,83.2,1,0,0,7.6
497411,349,Ipswich Town FC,Luke Woolfenden,90,0,0,0,0,65,84.6,1,0,0,5.7
497411,349,Ipswich Town FC,Janoi Donacien,90,0,0,0,0,24,80.9,2,0,0,7.8
497411,349,Ipswich Town FC,Harry Clarke,90,0,0,1,1,28,87.4,4,0,0,7.5
497411,349,Ipswich Town FC,Sam Morsy,90,0,0,1,1,71,77.6,0,0,0,5.8
497411,349,Ipswich Town FC,Wes Burns,90,0,0,3,2,47,77.7,6,0,0,8.1
497411,349,Ipswich Town FC,Conor Chaplin,90,0,0,0,0,45,87.6,6,0,0,8.5
497411,349,Ipswich Town FC,Freddie Ladapo,90,0,0,1,0,32,81.6,1,0,0,7.0
497411,349,Ipswich Town FC,Omari Hutchinson,90,0,0,2,2,35,92.1,0,0,0,7.1
497411,349,Ipswich Town FC,Liam Delap,90,0,0,0,0,61,96.0,6,0,0,5.6
497411,64,Liverpool FC,Alisson,90,0,0,3,0,30,76.7,3,0,0,6.4
497411,64,Liverpool FC,Trent Alexander-Arnold,90,1,0,4,2,47,86.6,5,0,0,9.0
497411,64,Liverpool FC,Virgil van Dijk,90,0,0,3,1,32,74.2,0,0,0,7.5
497411,64,Liverpool FC,Ibrahima Konaté,90,0,1,0,0,23,66.6,3,0,0,7.3
497411,64,Liverpool FC,Andrew Robertson,90,0,1,1,0,52,67.5,1,0,0,5.7
497411,64,Liverpool FC,Alexis Mac Allister,90,0,0,0,0,45,68.7,4,1,0,6.4
497411,64,Liverpool FC,Dominik Szoboszlai,90,0,0,0,0,46,85.4,4,0,0,7.3
497411,64,Liverpool FC,Mohamed Salah,90,0,0,2,1,62,87.2,1,0,0,6.4
497411,64,Liverpool FC,Darwin Núñez,90,1,0,2,2,49,74.8,6,0,0,8.8
497411,64,Liverpool FC,Luis Díaz,90,0,0,0,0,59,96.0,0,0,0,5.8
497411,64,Liverpool FC,Diogo Jota,90,0,0,1,1,36,69.1,2,0,0,8.6
497412,57,Arsenal FC,David Raya,90,0,0,2,2,36,93.1,6,0,0,5.7
497412,57,Arsenal FC,Ben White,90,0,0,3,2,22,65.1,6,0,0,6.0
497412,57,Arsenal FC,William Saliba,90,1,0,3,1,67,78.7,5,1,0,7.0
497412,57,Arsenal FC,Gabriel Magalhães,90,0,1,0,0,24,94.3,5,0,0,8.7
497412,57,Arsenal FC,Oleksandr Zinchenko,90,0,0,0,0,57,82.1,3,0,0,5.9
497412,57,Arsenal FC,Thomas Partey,90,0,0,2,2,77,93.9,6,0,0,5.6
497412,57,Arsenal FC,Martin Ødegaard,90,1,0,3,1,63,72.7,0,1,0,6.7
497412,57,Arsenal FC,Bukayo Saka,90,0,1,3,3,67,69.8,1,1,0,8.5
497412,57,Arsenal FC,Leandro Trossard,90,0,0,1,1,21,70.6,2,0,0,8.2
497412,57,Arsenal FC,Gabriel Martinelli,90,0,0,3,1,37,69.9,5,0,0,5.9
497412,57,Arsenal FC,Kai Havertz,90,0,0,0,0,34,71.2,3,0,0,6.7
497412,76,Wolverhampton Wanderers FC,José Sá,90,0,0,1,0,62,71.0,2,0,0,6.5
497412,76,Wolverhampton Wanderers FC,Matt Doherty,90,0,0,0,0,42,84.9,3,0,0,7.9
497412,76,Wolverhampton Wanderers FC,Max Kilman,90,0,0,2,0,27,92.2,2,0,0,6.1
497412,76,Wolverhampton Wanderers FC,Craig Dawson,90,0,0,2,0,26,83.5,2,0,0,8.0
497412,76,Wolverhampton Wanderers FC,Rayan Aït-Nouri,90,0,0,2,2,58,95.5,0,0,0,6.8
497412,76,Wolverhampton Wanderers FC,Mario Lemina,90,0,0,1,1,22,87.0,0,0,0,7.3
